timestamp,experiment_id,service,pod,scenario,cpu_usage,memory_usage_mb,restart_count,request_rate,error_rate,avg_latency_ms,p95_latency_ms,throughput,http_2xx_rate,http_4xx_rate,http_5xx_rate,network_receive_bytes,network_transmit_bytes,fault_type,fault_service,fault_phase,label
2026-06-08 21:07:51,EXP_002,coupon-service,coupon-service-78f984b8f8-srg7n,fault_traffic,4.68,49.41015625,9,364.0,0.0,0.2848298927646893,0.0,364.0,364.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
2026-06-08 21:07:51,EXP_002,inventory-service,inventory-service-6b76bf85fb-w9ls6,fault_traffic,4.58,49.09375,7,364.0,0.0,0.2531787445799897,0.0,364.0,364.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
2026-06-08 21:07:56,EXP_002,coupon-service,coupon-service-78f984b8f8-srg7n,fault_traffic,4.710000000000001,49.41015625,9,365.0,0.0,0.28474436703493683,0.0,365.0,365.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
2026-06-08 21:07:56,EXP_002,inventory-service,inventory-service-6b76bf85fb-w9ls6,fault_traffic,4.6000000000000005,49.09375,7,365.0,0.0,0.25311222473161027,0.0,365.0,365.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
2026-06-08 21:08:01,EXP_002,coupon-service,coupon-service-78f984b8f8-srg7n,fault_traffic,4.720000000000001,49.41015625,9,366.0,0.0,0.2846742622030115,0.0,366.0,366.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
2026-06-08 21:08:01,EXP_002,inventory-service,inventory-service-6b76bf85fb-w9ls6,fault_traffic,4.61,49.09375,7,366.0,0.0,0.2531220328660435,0.0,366.0,366.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
2026-06-08 21:08:07,EXP_002,coupon-service,coupon-service-78f984b8f8-srg7n,fault_traffic,4.73,49.41015625,9,367.0,0.0,0.2844892069903565,0.0,367.0,367.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
2026-06-08 21:08:07,EXP_002,inventory-service,inventory-service-6b76bf85fb-w9ls6,fault_traffic,4.61,49.09375,7,367.0,0.0,0.25307671942529886,0.0,367.0,367.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
2026-06-08 21:08:12,EXP_002,coupon-service,coupon-service-78f984b8f8-srg7n,fault_traffic,4.74,49.41015625,9,368.0,0.0,0.2851152335986863,0.0,368.0,368.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
2026-06-08 21:08:12,EXP_002,inventory-service,inventory-service-6b76bf85fb-w9ls6,fault_traffic,4.62,49.09375,7,368.0,0.0,0.2529986522562388,0.0,368.0,368.0,0.0,0.0,0.0,0.0,none,none,pre_fault,0
